username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TradersCom;2016-10-19 23:11;2;1;"SNAP-ON #Tools $ SNA Before Open #Earnings To Watch Oct 20 2016 $ LOW $ HD $ SPX #handyman http:// traderscommunity.com/forum/index.ph p?topic=622.msg4441#msg4441 … pic.twitter.com/jzNQuaDDxX";;;#Tools #Earnings #handyman #msg4441;"788880159084388353";https://twitter.com/TradersCom/status/788880159084388353
SwingTradeBot;2016-10-19 22:02;0;0;"Scan results - Hammer Candlestick today: $ TPC $ MJN $ AZO $ SPG $ GTLS $ GME $ CCI $ HD $ BIG $ MAC ... http:// swingtradebot.com/events/12/equi ties?selected_date=2016-10-19 …";;;;"788863028527767556";https://twitter.com/SwingTradeBot/status/788863028527767556
stockbard;2016-10-19 21:18;0;0;"$ ERA $ CUBS $ ARE $ HD $ BWA ! $ I $ AM $ AT $ DATA";;;;"788851959025504256";https://twitter.com/stockbard/status/788851959025504256
stockfollower4u;2016-10-19 20:49;0;0;"ITW Dynegy Inc. Stock Message Board Read More --> http:// dlvr.it/MTw6M6 $ ITW $ HD $ OPHT #tradeideas";;;#tradeideas;"788844445848342528";https://twitter.com/stockfollower4u/status/788844445848342528
raymond10mm;2016-10-19 20:24;2;0;"$ GOOGL $ AAPL $ AMZN $ PFE $ CVX $ XOM $ HCA $ SO $ KO $ JPM $ WFC $ FB $ CSCO $ HD $ DIS $ PEP $ STZ $ STT $ PCG $ BRK $ MO $ es_f $ cl_f $ spx $ djia #stocks up pic.twitter.com/TmRamkdrku";;;#stocks;"788838335695450113";https://twitter.com/raymond10mm/status/788838335695450113
finzine;2016-10-19 20:19;0;0;"$ HD Is Home Depot Bottoming? https://www. thestreet.com/story/13859654 /1/is-home-depot-bottoming.html?puc=yahoo&cm_ven=YAHOO …";;;;"788836922214842368";https://twitter.com/finzine/status/788836922214842368
MITickWatcher;2016-10-19 20:05;0;0;"Top #moneyflow for #sp500 today $ GOOG $ EQR $ ABT $ HD $ OMC $ JNJ $ BBT $ KLAC $ MU $ CMCSA ... http://www. mobileinteractive.com/stockstation/";;;#moneyflow #sp500;"788833357513814016";https://twitter.com/MITickWatcher/status/788833357513814016
louislouieaz;2016-10-19 19:14;0;0;"$ hd @HomeDepot these companies are just crazy anymore. Asking for ten things to exchange a broken product. ? Wtf";;@HomeDepot;;"788820644553076736";https://twitter.com/louislouieaz/status/788820644553076736
newswelldone;2016-10-19 18:18;0;0;"$ TTS $ LOW $ HD : The Tile Shop: A Strong Q3 Deserved A Better Reaction: http://www. StockNewsWires.com/2016/10/19/tts -low-hd-the-tile-shop-a-strong-q3-deserved-a-better-reaction/ …";;;;"788806430430228480";https://twitter.com/newswelldone/status/788806430430228480
stockbard;2016-10-19 17:48;0;0;"$ AIR $ BWA ! $ KEYS $ ARE $ MR $ QUAD $ IT $ STAY $ HD";;;;"788799102465212417";https://twitter.com/stockbard/status/788799102465212417
IHPosts2;2016-10-19 16:02;0;0;"leahanne: Volume Alert - HD 125.03 Home Depot $ HD Hit a http:// dlvr.it/MTrBTY";;;;"788772289110093824";https://twitter.com/IHPosts2/status/788772289110093824
IHPosts;2016-10-19 16:02;0;0;"leahanne: Volume Alert - HD 125.03 Home Depot $ HD Hit a http:// dlvr.it/MTrBHf";;;;"788772260899229697";https://twitter.com/IHPosts/status/788772260899229697
leahanneta;2016-10-19 15:58;0;0;"Volume Alert - HD 125.03 Home Depot $ HD Hit a high today of 125.81 Closing the day 10:30 at 125.03 -0.71 -0.56 http:// investorshangout.com/post/view?id=4 126028 …";;;;"788771228362440704";https://twitter.com/leahanneta/status/788771228362440704
SweetPlatform;2016-10-19 15:48;0;0;"HD Top news - Oct 19th, 2016 $ HD http:// https:// goo.gl/qXpw2C";;;;"788768764636565505";https://twitter.com/SweetPlatform/status/788768764636565505
masterofstocks1;2016-10-19 15:43;0;0;"CRC Cannabis Science Inc. Short Sales Read More --> http:// dlvr.it/MTqwC8 $ CRC $ HD $ VRX #nasdaq";;;#nasdaq;"788767437831286784";https://twitter.com/masterofstocks1/status/788767437831286784
intowin2017;2016-10-19 15:42;0;0;"HD Caterpillar, Inc. Market Cap Read More --> http:// dlvr.it/MTqvs9 $ HD $ HAL $ ILF #investing";;;#investing;"788767189897576448";https://twitter.com/intowin2017/status/788767189897576448
EarningsPal;2016-10-19 15:21;0;0;"Nice runs on both $ FB and $ HD this am! Make $ when its , or with #options .… https://www. instagram.com/p/BLv9RZrB_Nb/";;;#options;"788761955502665728";https://twitter.com/EarningsPal/status/788761955502665728
WatchlistN;2016-10-19 14:59;0;0;"The Home Depot Inc. $ HD Downgraded to “Hold” at Zacks Investment Research http:// zpr.io/P6KgH";;;;"788756553159544832";https://twitter.com/WatchlistN/status/788756553159544832
dailypoliticaln;2016-10-19 14:57;0;0;"The Home Depot Inc. $ HD Downgraded to “Hold” at Zacks Investment Research http://www. dailypolitical.com/?p=744807";;;;"788755983040442368";https://twitter.com/dailypoliticaln/status/788755983040442368
StocksHoroscope;2016-10-19 14:33;0;0;"#Cancer : Statistics says $ HD is a buy (timing=10 days, hist ret=2.5%, win rate=80.8%). More info -> http:// tradinghoroscope.com/cancer pic.twitter.com/W4NWsMIY3p";;;#Cancer;"788749982048325636";https://twitter.com/StocksHoroscope/status/788749982048325636
retail_Dbt;2016-10-19 14:22;0;0;"The Zacks Analyst Blog Highlights: Bank of America, Procter & Gamble, #HomeDepot , Microsoft a... Read more: http:// owler.us/abJE2x $ HD";;;#HomeDepot;"788747098044768256";https://twitter.com/retail_Dbt/status/788747098044768256
BigAlerts;2016-10-19 14:10;0;0;"The Home Depot hits a 1 quarter low http:// tinyurl.com/z8s4zqn $ HD #TheHomeDepot pic.twitter.com/Iu3vzFUxGd";;;#TheHomeDepot;"788744076271255552";https://twitter.com/BigAlerts/status/788744076271255552
midetimes;2016-10-19 13:40;0;0;"Dimensional Fund Advisors LP Sells 9,537 Shares of The Home Depot Inc. $ HD http:// mideasttime.com/?p=1338703";;;;"788736625052381184";https://twitter.com/midetimes/status/788736625052381184
whotrades;2016-10-19 13:32;0;0;"2 Ways Home Depot Inc Is Losing to the Competition $ HD $ LOW http:// bit.ly/191016HD";;;;"788734690912002049";https://twitter.com/whotrades/status/788734690912002049
TickerReport;2016-10-19 13:30;0;0;"BTIM Corp. Buys 297 Shares of The Home Depot Inc. $ HD http:// ift.tt/2ekkkZk";;;;"788734004036001792";https://twitter.com/TickerReport/status/788734004036001792
TickerReport;2016-10-19 13:25;0;0;"BTIM Corp. Buys 297 Shares of The Home Depot Inc. $ HD http:// zpr.io/P6y9d";;;;"788732851038588928";https://twitter.com/TickerReport/status/788732851038588928
WKRBNews;2016-10-19 13:09;0;0;"Hancock Holding Co. Reduces Stake in The Home Depot Inc. $ HD http:// ift.tt/2dO1ZmB";;;;"788728734480211968";https://twitter.com/WKRBNews/status/788728734480211968
WKRBNews;2016-10-19 13:08;0;0;"Hancock Holding Co. Reduces Stake in The Home Depot Inc. $ HD http:// zpr.io/P6yyq";;;;"788728523200528384";https://twitter.com/WKRBNews/status/788728523200528384
intercooleronli;2016-10-19 13:04;0;0;"Legacy Capital Partners Inc. Acquires 375 Shares of The Home Depot Inc. $ HD http:// zpr.io/P6yhK";;;;"788727478424629248";https://twitter.com/intercooleronli/status/788727478424629248
top10stocksof21;2016-10-19 10:47;0;0;"TSLA Direxion Daily Gold Miners Index Bear 3x Shares Bid Size Read More --> http:// dlvr.it/MTlKCX $ TSLA $ RAI $ HD #stocks";;;#stocks;"788692949219414018";https://twitter.com/top10stocksof21/status/788692949219414018
ProVesting;2016-10-19 10:12;0;0;"$ KO $ HD : Atlanta’s best internships: http://www. StockNewsWires.com/2016/10/19/ko- hd-atlantas-best-internships/ …";;;;"788684123510562816";https://twitter.com/ProVesting/status/788684123510562816
bigbluecup721;2016-10-19 08:42;0;0;"HD Coherent, Inc. Volume Read More --> http:// dlvr.it/MTjSVL $ HD $ OKSB $ PRAH #investing";;;#investing;"788661531504353281";https://twitter.com/bigbluecup721/status/788661531504353281
amystocks21334;2016-10-19 08:40;0;0;"HD Cliffs Natural Resources Inc. Market Cap Read More --> http:// dlvr.it/MTjRCF $ HD $BOMDYEING.IN $ INTU #stockmarket";;;#stockmarket;"788661106638147585";https://twitter.com/amystocks21334/status/788661106638147585
stocksnvape;2016-10-19 06:47;0;0;"GRCU CenterState Banks, Inc. E.P.S. Read More --> http:// dlvr.it/MTgvB2 $ GRCU $ HD $ EUO #tradeideas";;;#tradeideas;"788632533399470080";https://twitter.com/stocksnvape/status/788632533399470080
