username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MareaInformativ;2016-11-14 22:42;0;0;"Calvert Investment Management Inc. Purchases New Position in The Travelers Cos. $ TRV http:// ift.tt/2faxok3";;;;"798295051805872128";https://twitter.com/MareaInformativ/status/798295051805872128
TickerReport;2016-11-14 22:39;0;0;"Calvert Investment Management Inc. Purchases New Position in The Travelers Cos. $ TRV http:// ift.tt/2fsbZWC";;;;"798294350581157888";https://twitter.com/TickerReport/status/798294350581157888
storminvestor;2016-11-14 22:37;0;0;"Calvert Investment Management Inc. Purchases New Position in The Travelers Cos. $ TRV http:// zpr.io/PHN8w";;;;"798293867229483008";https://twitter.com/storminvestor/status/798293867229483008
TickerReport;2016-11-14 22:36;0;0;"Calvert Investment Management Inc. Purchases New Position in The Travelers Cos. $ TRV http:// zpr.io/PHN8Z";;;;"798293570008612864";https://twitter.com/TickerReport/status/798293570008612864
Allstocknews;2016-11-14 22:17;0;0;"$ TRV Travelers Companies, Inc. Document: Insider Ownership From our Stock News Alerts App";;;;"798288886740951041";https://twitter.com/Allstocknews/status/798288886740951041
deafdaytrader;2016-11-14 21:36;0;2;"Nice and might run more part 3 $ NCLH $ GTN $ TDW $ GT $ LLTC $ AUPH $ IPI $ GLUU $ XCO $ BCEI $ QTM $ CAH $ LB $ AN $ TRV $ NTAP";;;;"798278396849647616";https://twitter.com/deafdaytrader/status/798278396849647616
DozenStocks;2016-11-14 20:58;1;0;"Dow #Stocks Trend $ JPM $ GS $ AXP $ DIS $ BA $ UTX $ IBM $ CAT $ MRK $ UNH $ CSCO $ GE $ HD $ CVX $ WMT $ TRV $ MMM $ JNJ $ PFE @http:// 12Stocks.com/dow";;@http;#Stocks;"798268940132577280";https://twitter.com/DozenStocks/status/798268940132577280
ProVesting;2016-11-14 16:00;0;0;"$ TRV : 5 Stocks To ‘TRUMP’ The S&P 500, Part 1: Travelers Companies: http://www. StockNewsWires.com/2016/11/14/trv -5-stocks-to-trump-the-sp-500-part-1-travelers-companies/ …";;;;"798193813697294336";https://twitter.com/ProVesting/status/798193813697294336
bradk8605;2016-11-14 15:59;0;0;"5 Stocks To 'TRUMP' The S&P 500, Part 1: Travelers Companies $ TRV http:// seekingalpha.com/article/402313 2-5-stocks-trump-s-and-p-500-part-1-travelers-companies …";;;;"798193622122307584";https://twitter.com/bradk8605/status/798193622122307584
wlstcom;2016-11-14 15:56;0;0;"5 Stocks To TRUMP The S&P 500, Part 1: Travelers Companies #TRV #BradKenagy #LongIdeas $ TRV http:// seekingalpha.com/article/402313 2-5-stocks-trump-s-and-p-500-part-1-travelers-companies … pic.twitter.com/DxpdEx4EBJ";;;#TRV #BradKenagy #LongIdeas;"798192886110187522";https://twitter.com/wlstcom/status/798192886110187522
SeekingAlpha;2016-11-14 15:56;0;0;"5 Stocks To 'TRUMP' The S&P 500, Part 1: Travelers Companies http:// seekingalpha.com/article/402313 2-5-stocks-trump-s-and-p-500-part-1-travelers-companies?source=feed_f … $ TRV";;;;"798192858352132096";https://twitter.com/SeekingAlpha/status/798192858352132096
pipsnticks;2016-11-14 15:50;0;0;"Market leader - FINANCIAL $ JPM $ GS $ AXP $ TRV pic.twitter.com/AJr3Kf9Hk0";;;;"798191265892298758";https://twitter.com/pipsnticks/status/798191265892298758
Allstocknews;2016-11-14 15:07;0;0;"$ TRV Travelers Companies, Inc. Document: Institutional Investor Filing From our Stock News Alerts App";;;;"798180632958357504";https://twitter.com/Allstocknews/status/798180632958357504
WatchlistN;2016-11-14 14:48;0;0;"Philip T. Ruegger III Purchases 2,000 Shares of The Travelers Cos. $ TRV Stock http:// zpr.io/PHTnE";;;;"798175704999264256";https://twitter.com/WatchlistN/status/798175704999264256
scalpthatstock;2016-11-14 13:16;0;0;"Death Cross Patterns to keep in check this week http:// scalpthatstock.com/death-cross-pa tterns-11-11-2016/ … $ T $ XLP $ UN $ COG $ TAHO $ RRC $ TRV $ TPX pic.twitter.com/0dweF5SBjV";;;;"798152684276568066";https://twitter.com/scalpthatstock/status/798152684276568066
DozenStocks;2016-11-14 11:01;0;0;"Weekly Dow #Stocks Trend $ GS $ JPM $ AXP $ UTX $ BA $ IBM $ DIS $ CAT $ MRK $ UNH $ CSCO $ GE $ HD $ CVX $ WMT $ TRV $ MMM $ JNJ @http:// 12Stocks.com/dow";;@http;#Stocks;"798118534102405121";https://twitter.com/DozenStocks/status/798118534102405121
Top_Dow_Stocks;2016-11-14 08:23;0;0;"#Dow #stocks $ TRV Travelers Companies Daily:0.60% Weekly:5.36% YTD:-0.6% Trend:64 / 100 http:// 12Stocks.com/TRV";;;#Dow #stocks;"798078878765883392";https://twitter.com/Top_Dow_Stocks/status/798078878765883392
