Date,CSV no.,Stock,Mean,Stdev,No. tweets
"2016-09-01
",2016_245,AAPL,0.19721697525522588,0.25066793739059717,2582
"2016-09-02
",2016_246,AAPL,0.21216897239394311,0.2422530537682524,2135
"2016-09-03
",2016_247,AAPL,0.21693301419470484,0.24928760814072792,834
"2016-09-04
",2016_248,AAPL,0.20980428868920414,0.24110463275750257,769
"2016-09-05
",2016_249,AAPL,0.2572829216112798,0.23429277491628259,1139
"2016-09-06
",2016_250,AAPL,0.24585337998402759,0.24839451291259138,2158
"2016-09-07
",2016_251,AAPL,0.19877770647422302,0.26085553848691667,6248
"2016-09-08
",2016_252,AAPL,0.26617761400218776,0.24967372923098538,6833
"2016-09-09
",2016_253,AAPL,0.29213413318645259,0.244769086486537,5163
"2016-09-10
",2016_254,AAPL,0.23332521760326466,0.25433504331715728,1444
"2016-09-11
",2016_255,AAPL,0.22640793849989954,0.23852511950374741,821
"2016-09-12
",2016_256,AAPL,0.23426804531088086,0.25421126203327032,2317
"2016-09-13
",2016_257,AAPL,0.20792908641766444,0.26233301092047462,3264
"2016-09-14
",2016_258,AAPL,0.21004098314373404,0.25976177627748759,4306
"2016-09-15
",2016_259,AAPL,0.2027429659533441,0.26007313590236225,4196
"2016-09-16
",2016_260,AAPL,0.21589022861847429,0.25755956600540303,3666
"2016-09-17
",2016_261,AAPL,0.21196218001575146,0.24218498520876516,1050
"2016-09-18
",2016_262,AAPL,0.21597409614447829,0.23971613863354485,785
"2016-09-19
",2016_263,AAPL,0.2029726353495088,0.26136204972621607,2402
"2016-09-20
",2016_264,AAPL,0.21511303913396598,0.24743157729322476,2228
"2016-09-21
",2016_265,AAPL,0.20493867086371617,0.25615550056115133,2553
"2016-09-22
",2016_266,AAPL,0.21265825788229425,0.24028518563235984,1977
"2016-09-23
",2016_267,AAPL,0.17602669904840637,0.26954843980924881,2364
"2016-09-24
",2016_268,AAPL,0.18141670879956792,0.28743223919259558,786
"2016-09-25
",2016_269,AAPL,0.19509274290524292,0.26184882030887557,600
"2016-09-26
",2016_270,AAPL,0.20589588790086077,0.26403692376724291,1659
"2016-09-27
",2016_271,AAPL,0.20640874164340881,0.26686142226557619,1337
"2016-09-28
",2016_272,AAPL,0.22626153278459243,0.2563451576365276,1778
"2016-09-29
",2016_273,AAPL,0.23746491039510823,0.25834696129193219,2105
"2016-09-30
",2016_274,AAPL,0.18059217871441119,0.2666719145489323,1355
"2016-10-01
",2016_275,AAPL,0.21468902143673649,0.25702364002321243,824
"2016-10-02
",2016_276,AAPL,0.22474902151818718,0.26587829816315872,609
"2016-10-03
",2016_277,AAPL,0.19669039821864431,0.25186457164868248,1316
"2016-10-04
",2016_278,AAPL,0.19442696243745483,0.24559082525154108,1513
"2016-10-05
",2016_279,AAPL,0.15910568516476536,0.26572598233880285,1325
"2016-10-06
",2016_280,AAPL,0.16552781390437524,0.25958859127621509,1341
"2016-10-07
",2016_281,AAPL,0.1699443646878033,0.2746319909719499,1124
"2016-10-08
",2016_282,AAPL,0.14630929651023267,0.27982891024179035,348
"2016-10-09
",2016_283,AAPL,0.17497564823169662,0.29353430839507416,403
"2016-10-10
",2016_284,AAPL,0.16054590965991994,0.26017508167865955,1436
"2016-10-11
",2016_285,AAPL,0.13914856065697179,0.2579654280316992,2049
"2016-10-12
",2016_286,AAPL,0.15002366613598331,0.2414399257253281,1641
"2016-10-13
",2016_287,AAPL,0.1502738993886425,0.24396773735225857,1304
"2016-10-14
",2016_288,AAPL,0.15453180783411469,0.25064486414188503,1165
