Date,CSV no.,Stock,Mean,Stdev,No. tweets
"2016-09-01
",2016_245,CAT,0.14485084838533113,0.3528012050167576,58
"2016-09-02
",2016_246,CAT,0.19990614105658353,0.23887287896997003,113
"2016-09-03
",2016_247,CAT,0.24778645833333335,0.25233777171903121,48
"2016-09-04
",2016_248,CAT,0.13600621600621599,0.21261841787237845,39
"2016-09-05
",2016_249,CAT,0.19785990153637215,0.25705305409347157,51
"2016-09-06
",2016_250,CAT,0.17802489177489175,0.26315298291164818,56
"2016-09-07
",2016_251,CAT,0.13375653082549635,0.22591864602287576,116
"2016-09-08
",2016_252,CAT,0.12186591946865923,0.3089696403012604,73
"2016-09-09
",2016_253,CAT,0.1792517006802721,0.23676862563728288,49
"2016-09-10
",2016_254,CAT,0.20846153846153845,0.22773128564503048,26
"2016-09-11
",2016_255,CAT,0.23575757575757578,0.23266164143222964,33
"2016-09-12
",2016_256,CAT,0.1558423686405338,0.30380234594411287,109
"2016-09-13
",2016_257,CAT,0.12561111111111112,0.2306325787250417,50
"2016-09-14
",2016_258,CAT,0.13609189295552931,0.1972342606434995,55
"2016-09-15
",2016_259,CAT,0.1235740382548893,0.21355634240281324,47
"2016-09-16
",2016_260,CAT,0.15746031746031747,0.33453613073993493,84
"2016-09-17
",2016_261,CAT,0.15516098484848484,0.29405771331314506,44
"2016-09-18
",2016_262,CAT,0.079814814814814825,0.23857318634365693,27
"2016-09-19
",2016_263,CAT,0.093869221056721061,0.37384483314474948,104
"2016-09-20
",2016_264,CAT,0.15135658914728681,0.28598161404760669,43
"2016-09-21
",2016_265,CAT,0.059971355344489684,0.17345781750523612,67
"2016-09-22
",2016_266,CAT,0.14448028673835125,0.23199490078613469,62
"2016-09-23
",2016_267,CAT,0.14411949685534589,0.2303065134700939,53
"2016-09-24
",2016_268,CAT,0.10023041474654376,0.18360045972931396,31
"2016-09-25
",2016_269,CAT,0.20781249999999998,0.24824964698516869,24
"2016-09-26
",2016_270,CAT,0.18620006887052343,0.29681252569909794,44
"2016-09-27
",2016_271,CAT,0.11868429189857763,0.22146247974916222,49
"2016-09-28
",2016_272,CAT,0.11800725653243639,0.22321385840146143,139
"2016-09-29
",2016_273,CAT,0.12236486702467715,0.23680297182891213,158
"2016-09-30
",2016_274,CAT,0.15355075578479832,0.30321934648693238,141
"2016-10-01
",2016_275,CAT,0.2173378010878011,0.27182690101084472,52
"2016-10-02
",2016_276,CAT,0.11373543123543123,0.22612449527795878,26
"2016-10-03
",2016_277,CAT,0.11878905045571712,0.24653574621318497,78
"2016-10-04
",2016_278,CAT,0.10774582560296846,0.2130780449628529,49
"2016-10-05
",2016_279,CAT,0.16365157641101039,0.23495015435992203,53
"2016-10-06
",2016_280,CAT,0.15609090909090911,0.26462513632666723,55
"2016-10-07
",2016_281,CAT,0.19094444444444444,0.31203879006435103,120
"2016-10-08
",2016_282,CAT,0.18800675675675677,0.41854881770266694,37
"2016-10-09
",2016_283,CAT,0.26866666666666666,0.21594592767209325,30
"2016-10-10
",2016_284,CAT,0.23088664421997757,0.22795693243868378,45
"2016-10-11
",2016_285,CAT,0.18572669260169258,0.24820642305583074,185
