Date,CSV no.,Stock,Mean,Stdev,No. tweets
"2016-09-01
",2016_245,CVX,0.10105381944444444,0.3149704829791885,80
"2016-09-02
",2016_246,CVX,0.090538412270403795,0.19119855076579795,59
"2016-09-03
",2016_247,CVX,0.081746031746031747,0.15425303112935956,42
"2016-09-04
",2016_248,CVX,0.11564785788923719,0.17983619124381808,29
"2016-09-05
",2016_249,CVX,0.15612830431979369,0.22306163073292729,47
"2016-09-06
",2016_250,CVX,0.10542651792651793,0.21369398321287544,78
"2016-09-07
",2016_251,CVX,0.19651041666666666,0.25782253968747471,64
"2016-09-08
",2016_252,CVX,0.13248979878146547,0.24566285662394008,90
"2016-09-09
",2016_253,CVX,0.14333302411873841,0.23803120634839536,70
"2016-09-10
",2016_254,CVX,0.2087037037037037,0.25115355158301617,60
"2016-09-11
",2016_255,CVX,0.18336489898989897,0.22759973832365091,48
"2016-09-12
",2016_256,CVX,0.131460101010101,0.22891255481277073,100
"2016-09-13
",2016_257,CVX,0.13459621993127147,0.23329156087561029,97
"2016-09-14
",2016_258,CVX,0.083998655913978509,0.20121247712280227,62
"2016-09-15
",2016_259,CVX,0.10585804132973944,0.21056694363056738,53
"2016-09-16
",2016_260,CVX,0.13188517639077341,0.21811807851742035,134
"2016-09-17
",2016_261,CVX,0.094920704295704303,0.19021236098811228,52
"2016-09-18
",2016_262,CVX,0.14259680134680136,0.21763897593539208,60
"2016-09-19
",2016_263,CVX,0.096361465995612336,0.19823461121325861,123
"2016-09-20
",2016_264,CVX,0.047389299976509272,0.2624441430612251,86
"2016-09-21
",2016_265,CVX,0.099020798042537189,0.26924999254179011,69
"2016-09-22
",2016_266,CVX,0.09100030921459494,0.19568308041265361,42
"2016-09-23
",2016_267,CVX,0.13104938271604938,0.30060385334215101,54
"2016-09-24
",2016_268,CVX,0.067013888888888887,0.17880151814372044,24
"2016-09-25
",2016_269,CVX,0.10966666666666666,0.2079083164655891,25
"2016-09-26
",2016_270,CVX,0.14548450777617447,0.22774518976672417,72
"2016-09-27
",2016_271,CVX,0.11576298701298701,0.19549210975862749,66
"2016-09-28
",2016_272,CVX,0.071338607312058641,0.21454393371906524,113
"2016-09-29
",2016_273,CVX,0.1101702888947787,0.23638807412651508,98
"2016-09-30
",2016_274,CVX,0.094411479815023111,0.23165287690468434,127
"2016-10-01
",2016_275,CVX,0.15122835497835496,0.23440252853134322,60
"2016-10-02
",2016_276,CVX,0.11083275941230485,0.19124566657534556,44
"2016-10-03
",2016_277,CVX,0.15513095238095237,0.25541690351212853,70
"2016-10-04
",2016_278,CVX,0.12223396243133085,0.24761663986051127,57
"2016-10-05
",2016_279,CVX,0.1070719954648526,0.23911942907881897,42
"2016-10-06
",2016_280,CVX,0.15869380075262432,0.2831268820162321,51
"2016-10-07
",2016_281,CVX,0.13191969196919692,0.2382142447196661,101
"2016-10-08
",2016_282,CVX,0.05976744186046512,0.35642855339693735,43
"2016-10-09
",2016_283,CVX,0.21707717569786536,0.26456384860917076,29
"2016-10-10
",2016_284,CVX,0.12576963666515906,0.29503481261543318,67
"2016-10-11
",2016_285,CVX,0.062863636363636358,0.19915644916946892,55
"2016-10-12
",2016_286,CVX,0.089582912457912459,0.27190267917323419,90
"2016-10-13
",2016_287,CVX,0.13242517770295548,0.2333363166545096,108
"2016-10-14
",2016_288,CVX,0.049428387516622811,0.19333563652853386,51
"2016-10-15
",2016_289,CVX,0.07904411764705882,0.16045391897945194,34
"2016-10-16
",2016_290,CVX,0.16518880208333331,0.21195194707848924,64
"2016-10-17
",2016_291,CVX,0.16762490981240982,0.23350346388114951,88
"2016-10-18
",2016_292,CVX,0.0950948361480769,0.19066623419049913,108
"2016-10-19
",2016_293,CVX,0.093217623497997337,0.23173453241673617,107
"2016-10-20
",2016_294,CVX,0.10819805194805195,0.1939549084027174,56
"2016-10-21
",2016_295,CVX,0.10091931216931217,0.21075654089571191,84
"2016-10-22
",2016_296,CVX,0.057080419580419574,0.15796782818140148,52
"2016-10-23
",2016_297,CVX,0.11973391550977758,0.19678807087003813,58
"2016-10-24
",2016_298,CVX,0.099114813757670894,0.18214023958342512,91
"2016-10-25
",2016_299,CVX,0.096661425576519924,0.22782139852396344,106
"2016-10-26
",2016_300,CVX,0.10568105756358767,0.21025402907142532,166
"2016-10-27
",2016_301,CVX,0.042605105105105102,0.23819852399267047,111
"2016-10-28
",2016_302,CVX,0.094987359661272697,0.22572226270652967,299
"2016-10-29
",2016_303,CVX,0.072986111111111113,0.193950547242282,60
"2016-10-30
",2016_304,CVX,0.091588050314465416,0.18852903266573495,53
"2016-10-31
",2016_305,CVX,0.15140465952965954,0.22702316481910945,222
"2016-11-01
",2016_306,CVX,0.1074053079053079,0.2434017689401895,185
"2016-11-02
",2016_307,CVX,0.074346726190476192,0.22190874105680689,100
"2016-11-03
",2016_308,CVX,0.068095238095238098,0.24750865836459343,80
"2016-11-04
",2016_309,CVX,0.062026087947140582,0.21642956172241906,76
"2016-11-05
",2016_310,CVX,0.048863636363636366,0.19366818355079732,55
"2016-11-06
",2016_311,CVX,0.096576086956521742,0.20010701058949401,46
"2016-11-07
",2016_312,CVX,0.13596345811051697,0.20915415161652998,85
"2016-11-08
",2016_313,CVX,0.13246602492818088,0.23612726215085575,109
"2016-11-09
",2016_314,CVX,0.071208333333333346,0.18493807170423873,80
"2016-11-10
",2016_315,CVX,0.041944256553631556,0.23050899314161333,64
"2016-11-11
",2016_316,CVX,0.14185534591194968,0.28360967112060298,53
"2016-11-12
",2016_317,CVX,0.12282886334610472,0.17848494331890663,29
"2016-11-13
",2016_318,CVX,0.12566844919786097,0.19062905481183107,34
"2016-11-14
",2016_319,CVX,0.16841846196338384,0.26942111345059622,64
"2016-11-15
",2016_320,CVX,0.043591800356506241,0.26417987154364619,102
"2016-11-16
",2016_321,CVX,0.060833956852475363,0.21141102712832682,81
"2016-11-17
",2016_322,CVX,0.10986285936285936,0.18603021177839885,65
"2016-11-18
",2016_323,CVX,0.10169266191325016,0.27591497848558599,68
"2016-11-19
",2016_324,CVX,0.048048941798941799,0.16946361889039377,42
"2016-11-20
",2016_325,CVX,0.10060541310541311,0.18889635855323028,39
"2016-11-21
",2016_326,CVX,0.068063603063603054,0.19397187925295581,91
"2016-11-22
",2016_327,CVX,-0.011615860990860986,0.34306299266577878,72
"2016-11-23
",2016_328,CVX,-0.035913366468922028,0.28033899917932403,54
"2016-11-24
",2016_329,CVX,0.055525793650793652,0.1533131163105852,28
"2016-11-25
",2016_330,CVX,0.12182291666666667,0.28916457968517439,48
"2016-11-26
",2016_331,CVX,0.066511183261183257,0.18235686839590823,35
"2016-11-27
",2016_332,CVX,0.038417832167832171,0.10859642629861967,26
"2016-11-28
",2016_333,CVX,0.053956739607424545,0.2498587654449908,73
"2016-11-29
",2016_334,CVX,0.14580882352941174,0.30094792096240985,68
"2016-11-30
",2016_335,CVX,0.070763692326192326,0.20744259181683158,156
"2016-12-01
",2016_336,CVX,0.077264718614718605,0.18273630867727148,100
"2016-12-02
",2016_337,CVX,0.11079788267288268,0.26285787681138995,78
"2016-12-03
",2016_338,CVX,0.090126262626262624,0.23812405927981561,45
"2016-12-04
",2016_339,CVX,0.073198447893569843,0.22166621325490815,41
"2016-12-05
",2016_340,CVX,0.11168347118528277,0.28583244818696979,69
"2016-12-06
",2016_341,CVX,-0.010541223041223039,0.25611108109869019,74
"2016-12-07
",2016_342,CVX,0.079548833404467209,0.2532479850664669,71
"2016-12-08
",2016_343,CVX,0.1522748151553461,0.24137379971543513,113
"2016-12-09
",2016_344,CVX,0.04997048406139315,0.22014545422991877,77
"2016-12-10
",2016_345,CVX,0.015054615926708948,0.096959095579601584,43
"2016-12-11
",2016_346,CVX,0.061918604651162786,0.14167711619768134,43
"2016-12-12
",2016_347,CVX,0.10815571817952768,0.23514424467720307,126
"2016-12-13
",2016_348,CVX,0.10339374555792466,0.20455292510087847,67
"2016-12-14
",2016_349,CVX,0.042451690821256036,0.27488696741410862,69
"2016-12-15
",2016_350,CVX,0.087866698903932949,0.21002598508487497,94
"2016-12-16
",2016_351,CVX,0.11069909257409256,0.24412512266182196,117
"2016-12-17
",2016_352,CVX,0.079134331116038431,0.20300645901332295,82
"2016-12-18
",2016_353,CVX,0.066116161616161614,0.18584655186767748,50
"2016-12-19
",2016_354,CVX,0.069981230524708796,0.21066577846314474,69
"2016-12-20
",2016_355,CVX,0.07235995754891103,0.16070193155922494,86
"2016-12-21
",2016_356,CVX,0.078465936420481858,0.19847727450261909,66
"2016-12-22
",2016_357,CVX,0.039402810304449649,0.32055600644959592,61
"2016-12-23
",2016_358,CVX,0.069795321637426896,0.20956930833676751,76
"2016-12-24
",2016_359,CVX,0.058385579937304075,0.12153833286203723,29
"2016-12-25
",2016_360,CVX,0.067500000000000004,0.16429299285118645,25
"2016-12-26
",2016_361,CVX,0.069886363636363635,0.21236547180443108,22
"2016-12-27
",2016_362,CVX,0.14800054112554115,0.2483211147877997,56
"2016-12-28
",2016_363,CVX,0.032478028876333963,0.2193714112771778,59
