Date,CSV no.,Stock,Mean,Stdev,No. tweets
"2016-09-01
",2016_245,HD,0.23834183673469386,0.25781181749786142,28
"2016-09-02
",2016_246,HD,0.12792428017718716,0.26063335227826229,43
"2016-09-03
",2016_247,HD,0.098889652014652024,0.27241627359141773,26
"2016-09-04
",2016_248,HD,0.080168895144264618,0.18938009771520117,29
"2016-09-05
",2016_249,HD,0.19078947368421051,0.27009889659207426,38
"2016-09-06
",2016_250,HD,0.25575163398692807,0.26960078710225055,34
"2016-09-07
",2016_251,HD,0.13270505050505052,0.24290331065082102,50
"2016-09-08
",2016_252,HD,0.084406633722671459,0.28029515837256025,53
"2016-09-09
",2016_253,HD,0.10892766955266955,0.22883755171111653,54
"2016-09-10
",2016_254,HD,0.12342342342342341,0.19819632131243448,37
"2016-09-11
",2016_255,HD,0.0045000000000000014,0.28327120948836293,25
"2016-09-12
",2016_256,HD,0.097319250194250195,0.21254973284104267,65
"2016-09-13
",2016_257,HD,0.12806614532420985,0.26870621471374889,31
"2016-09-14
",2016_258,HD,0.12327312534209085,0.19669130560480774,29
"2016-09-15
",2016_259,HD,0.13141203703703705,0.26207746510000346,45
"2016-09-16
",2016_260,HD,0.12636136712749618,0.20536578529027968,62
"2016-09-17
",2016_261,HD,0.16550000000000001,0.19452912797998417,50
"2016-09-18
",2016_262,HD,0.14585497835497838,0.19065697522671957,70
"2016-09-19
",2016_263,HD,0.10121432139289281,0.19013739639742777,91
"2016-09-20
",2016_264,HD,0.1461304528804529,0.27375024846087376,65
"2016-09-21
",2016_265,HD,0.14509415584415589,0.21788561615636168,70
"2016-09-22
",2016_266,HD,0.19915329768270945,0.22470312340177176,68
"2016-09-23
",2016_267,HD,0.14246875000000001,0.26003982798683567,40
"2016-09-24
",2016_268,HD,0.203125,0.27399148074664498,24
"2016-09-25
",2016_269,HD,0.10704545454545454,0.24711988169861188,22
"2016-09-26
",2016_270,HD,0.12051966229291811,0.25747957034579927,43
"2016-09-27
",2016_271,HD,0.14180975274725277,0.23155763285457293,52
"2016-09-28
",2016_272,HD,0.10105179704016914,0.29861199973446922,43
"2016-09-29
",2016_273,HD,0.12993753674309233,0.24297247814398043,63
"2016-09-30
",2016_274,HD,0.10257575757575758,0.17897364514521588,55
"2016-10-01
",2016_275,HD,0.16267106549364616,0.29011797925623095,31
"2016-10-02
",2016_276,HD,0.057175925925925929,0.34918150915741308,21
"2016-10-03
",2016_277,HD,0.19251516839236138,0.2421144691819225,57
"2016-10-04
",2016_278,HD,0.15822072072072071,0.28076816834909923,37
"2016-10-05
",2016_279,HD,0.14717302899121079,0.23474745503005781,33
"2016-10-06
",2016_280,HD,0.07178725563827934,0.20429573734543169,116
"2016-10-07
",2016_281,HD,0.096695303550973666,0.21865385337272325,97
"2016-10-08
",2016_282,HD,0.3125,0.27778888866667556,16
"2016-10-09
",2016_283,HD,0.065808823529411753,0.29809058409069111,17
"2016-10-10
",2016_284,HD,0.1762654012654013,0.2517358037278748,39
"2016-10-11
",2016_285,HD,0.19104823747680891,0.26172386213167548,49
"2016-10-12
",2016_286,HD,0.11420799944736114,0.28415945457209557,47
"2016-10-13
",2016_287,HD,0.071531491384432572,0.19146161710678694,34
"2016-10-14
",2016_288,HD,0.036377452334899148,0.17089498375400122,47
"2016-10-15
",2016_289,HD,0.06099376114081996,0.19437595489617945,34
"2016-10-16
",2016_290,HD,0.18714285714285717,0.2447516319547999,35
"2016-10-17
",2016_291,HD,0.13145354406130266,0.26536368465961102,58
"2016-10-18
",2016_292,HD,0.057667680851643123,0.2621860956091987,53
"2016-10-19
",2016_293,HD,0.1726388888888889,0.2829097539301027,44
"2016-10-20
",2016_294,HD,0.17403354978354976,0.24201988439121033,40
"2016-10-21
",2016_295,HD,0.054913690476190477,0.14600340805972031,40
"2016-10-22
",2016_296,HD,0.046875,0.25909246660217661,26
"2016-10-23
",2016_297,HD,0.1752136752136752,0.21953503485540724,26
"2016-10-24
",2016_298,HD,0.2045368757259001,0.24040163400762893,41
"2016-10-25
",2016_299,HD,0.040935815066767446,0.17808747463737021,105
"2016-10-26
",2016_300,HD,0.094585048010973935,0.1932406601969642,81
"2016-10-27
",2016_301,HD,0.16908726689976691,0.26567771836204768,52
"2016-10-28
",2016_302,HD,0.022602089268755936,0.14794343768830043,39
"2016-10-29
",2016_303,HD,0.026351880877742949,0.21308703454435002,29
"2016-10-30
",2016_304,HD,0.12387152777777777,0.23924083834366749,24
"2016-10-31
",2016_305,HD,0.10686904761904761,0.21202651311753515,70
"2016-11-01
",2016_306,HD,0.047493181818181816,0.2335509411028098,50
"2016-11-02
",2016_307,HD,0.087171474358974363,0.20575585878449562,52
"2016-11-03
",2016_308,HD,0.17232804232804233,0.23666455522321164,21
"2016-11-04
",2016_309,HD,0.1011525974025974,0.24645610046972993,33
"2016-11-05
",2016_310,HD,0.13155303030303031,0.23384939177896677,44
"2016-11-06
",2016_311,HD,0.11978260869565217,0.20711230587866289,46
"2016-11-07
",2016_312,HD,0.13062500000000002,0.2799574652541571,30
"2016-11-08
",2016_313,HD,0.1392935852026761,0.28670283835623511,33
"2016-11-09
",2016_314,HD,0.16175028675028677,0.25504088122413671,39
"2016-11-10
",2016_315,HD,0.18741512345679012,0.28409983928552285,54
"2016-11-11
",2016_316,HD,0.088514309764309768,0.20914745492111042,60
"2016-11-12
",2016_317,HD,0.18478132387706855,0.30238264746236126,47
"2016-11-13
",2016_318,HD,0.14780660501115048,0.26391632210469229,55
"2016-11-14
",2016_319,HD,0.11792527144986162,0.21619769053167173,183
"2016-11-15
",2016_320,HD,0.12910480823171103,0.25051430682059367,488
"2016-11-16
",2016_321,HD,0.089917333508242589,0.26488467277201433,165
"2016-11-17
",2016_322,HD,0.15359126984126983,0.23637796759808419,134
"2016-11-18
",2016_323,HD,0.13684282655750046,0.20874075567365996,92
"2016-11-19
",2016_324,HD,0.070151289682539683,0.16655043774858003,56
"2016-11-20
",2016_325,HD,0.12677788220551375,0.28631136740318247,38
"2016-11-21
",2016_326,HD,0.021084337349397592,0.31794600725937333,83
"2016-11-22
",2016_327,HD,0.10502200402079043,0.28054179188314171,103
"2016-11-23
",2016_328,HD,0.087241656193269096,0.24133031316597736,62
"2016-11-24
",2016_329,HD,0.042857142857142858,0.13451854182690984,28
"2016-11-25
",2016_330,HD,0.06631756756756757,0.23635574568367138,37
"2016-11-26
",2016_331,HD,0.086071428571428577,0.17762084759265492,35
"2016-11-27
",2016_332,HD,0.031989247311827958,0.12568509985264814,31
"2016-11-28
",2016_333,HD,0.10131451501314515,0.19650002259636609,73
"2016-11-29
",2016_334,HD,0.084343625650443829,0.20561665868855819,66
"2016-11-30
",2016_335,HD,0.11417886126219461,0.1618701937295986,78
"2016-12-01
",2016_336,HD,0.08533333333333333,0.20316170613203052,50
"2016-12-02
",2016_337,HD,0.075577219766049544,0.22067011472214426,47
"2016-12-03
",2016_338,HD,0.085633680555555564,0.18524332586319225,32
"2016-12-04
",2016_339,HD,0.026286764705882353,0.1850456754871305,34
"2016-12-05
",2016_340,HD,0.083674124788255227,0.15784303209062536,46
"2016-12-06
",2016_341,HD,0.1295831503440199,0.29021289168925724,69
"2016-12-07
",2016_342,HD,0.10619849699746607,0.24476804736984276,97
"2016-12-08
",2016_343,HD,0.059506143913360413,0.16362354360371362,97
"2016-12-09
",2016_344,HD,0.097694724429799054,0.29273840485528579,67
"2016-12-10
",2016_345,HD,0.05833333333333332,0.12188424521146786,27
"2016-12-11
",2016_346,HD,0.13055555555555556,0.23416379643478996,20
"2016-12-12
",2016_347,HD,0.11765661938534279,0.26743880798547398,47
"2016-12-13
",2016_348,HD,0.071564517353991039,0.20345114539966555,76
"2016-12-14
",2016_349,HD,0.12353123067408781,0.35566361143051006,49
"2016-12-15
",2016_350,HD,0.080649038461538453,0.15812967236850595,52
"2016-12-16
",2016_351,HD,0.12088087507730362,0.2614129886145749,49
"2016-12-17
",2016_352,HD,0.12256097560975611,0.23715796937700492,41
"2016-12-18
",2016_353,HD,0.11307070707070707,0.21080572131120393,25
"2016-12-19
",2016_354,HD,0.083080808080808088,0.21113208461738389,33
"2016-12-20
",2016_355,HD,0.15550916305916307,0.30463824147916663,75
"2016-12-21
",2016_356,HD,-0.0060381944444444389,0.36278143307187494,40
"2016-12-22
",2016_357,HD,0.13734527089072543,0.20473625127147882,55
"2016-12-23
",2016_358,HD,0.14981521564854899,0.21649108381300849,54
"2016-12-24
",2016_359,HD,0.0032738095238095226,0.22165586932170753,21
"2016-12-25
",2016_360,HD,0.02717391304347826,0.10631028863828623,23
"2016-12-26
",2016_361,HD,0.074712643678160912,0.17787439219269335,29
"2016-12-27
",2016_362,HD,0.12732843137254901,0.24324422225151476,34
"2016-12-28
",2016_363,HD,0.15163052943225355,0.25315611686728012,58
"2016-12-29
",2016_364,HD,0.10065327184892402,0.20946464101623738,69
"2016-12-30
",2016_365,HD,0.13226438109912686,0.21532554359165879,59
2016-12-31,2016_366,HD,0.071789321789321806,0.18466259508767993,35
"2017-01-01
",2017_1,HD,0.002232142857142857,0.16103834561591474,42
"2017-01-02
",2017_2,HD,0.043248715222399432,0.12780984047781027,57
"2017-01-03
",2017_3,HD,0.071508563899868247,0.24374385570445853,46
"2017-01-04
",2017_4,HD,0.037133290816326534,0.28565369572574256,56
"2017-01-05
",2017_5,HD,-0.0070089786756453408,0.33857214839113009,45
"2017-01-06
",2017_6,HD,0.073922413793103436,0.19444427790013896,58
"2017-01-07
",2017_7,HD,0.058015873015873014,0.17161261254532728,30
"2017-01-08
",2017_8,HD,0.048843549127640037,0.21457277285373189,33
"2017-01-09
",2017_9,HD,0.11278282828282828,0.24705180057332346,55
"2017-01-10
",2017_10,HD,0.057778257997413839,0.17163858479719737,77
"2017-01-11
",2017_11,HD,0.10906620553359685,0.214054299065114,46
"2017-01-12
",2017_12,HD,0.062943974630021146,0.17899090615244551,43
