Date,CSV no.,Stock,Mean,Stdev,No. tweets
"2016-09-01
",2016_245,INTC,0.16237485955520309,0.21941977828152065,131
"2016-09-02
",2016_246,INTC,0.20887332440950862,0.21527059999546061,114
"2016-09-03
",2016_247,INTC,0.24628611111111112,0.24200671016190525,75
"2016-09-04
",2016_248,INTC,0.12500270562770563,0.2028843011623655,63
"2016-09-05
",2016_249,INTC,0.20087886142983233,0.23020130527491336,103
"2016-09-06
",2016_250,INTC,0.20019034588959964,0.23355538663752878,335
"2016-09-07
",2016_251,INTC,0.16243260233622384,0.22521829382154945,214
"2016-09-08
",2016_252,INTC,0.20953893353781247,0.23473547147199716,223
"2016-09-09
",2016_253,INTC,0.21928407358492102,0.23021192762967621,177
"2016-09-10
",2016_254,INTC,0.20035955710955711,0.22108337683099522,65
"2016-09-11
",2016_255,INTC,0.17581845238095239,0.22022197413979122,60
"2016-09-12
",2016_256,INTC,0.15017633821205251,0.22789122166187797,126
"2016-09-13
",2016_257,INTC,0.20031698933782269,0.24693585991846137,90
"2016-09-14
",2016_258,INTC,0.11232393378226713,0.24928183385705666,63
"2016-09-15
",2016_259,INTC,0.14547235925142901,0.2241727580629026,129
"2016-09-16
",2016_260,INTC,0.16401970757215673,0.24102306265466331,541
"2016-09-17
",2016_261,INTC,0.14464470220195413,0.24171290092737927,131
"2016-09-18
",2016_262,INTC,0.23789815383565383,0.26099957523713546,74
"2016-09-19
",2016_263,INTC,0.12248102434264314,0.21868580773623705,383
"2016-09-20
",2016_264,INTC,0.13544801186467853,0.22825195406534937,225
"2016-09-21
",2016_265,INTC,0.11281030972995258,0.25705368254328997,140
"2016-09-22
",2016_266,INTC,0.1699079213796956,0.2245102892794518,155
"2016-09-23
",2016_267,INTC,0.13160678475935828,0.19017017239287506,136
"2016-09-24
",2016_268,INTC,0.10360709366391185,0.18138527748702599,55
"2016-09-25
",2016_269,INTC,0.15355110415378276,0.20112940366509791,84
"2016-09-26
",2016_270,INTC,0.16515231607115935,0.25088247409376763,134
"2016-09-27
",2016_271,INTC,0.12029997622327168,0.21471952687300944,132
"2016-09-28
",2016_272,INTC,0.075307316746923481,0.2116240177653341,89
"2016-09-29
",2016_273,INTC,0.14228525171065493,0.28415420455567458,124
"2016-09-30
",2016_274,INTC,0.089071687019448204,0.21315698937944316,134
"2016-10-01
",2016_275,INTC,0.14798947132616486,0.25694811461324879,62
"2016-10-02
",2016_276,INTC,0.15420543386961297,0.22513396214361761,67
"2016-10-03
",2016_277,INTC,0.15781612159541847,0.22892762499921876,192
"2016-10-04
",2016_278,INTC,0.21900680127952857,0.2519026369368747,143
"2016-10-05
",2016_279,INTC,0.21854571638039383,0.23637970194952856,155
"2016-10-06
",2016_280,INTC,0.20275340323767477,0.21979844144865013,151
"2016-10-07
",2016_281,INTC,0.21248065066246885,0.247338781247043,132
"2016-10-08
",2016_282,INTC,0.18432615875503805,0.21880404142346765,58
"2016-10-09
",2016_283,INTC,0.24334605823863636,0.23206643969185387,64
"2016-10-10
",2016_284,INTC,0.18704367965367968,0.23426176140089316,125
"2016-10-11
",2016_285,INTC,0.19462539184952979,0.246603239480536,145
"2016-10-12
",2016_286,INTC,0.20828609237984244,0.2462495076401745,156
"2016-10-13
",2016_287,INTC,0.10274264157973173,0.21097668506134512,122
"2016-10-14
",2016_288,INTC,0.1461202419676996,0.25070370825508953,177
"2016-10-15
",2016_289,INTC,0.19641959595959599,0.22336465417324725,125
"2016-10-16
",2016_290,INTC,0.14919928124411821,0.22076976599123874,92
"2016-10-17
",2016_291,INTC,0.13066441518516617,0.24151346029192131,253
"2016-10-18
",2016_292,INTC,0.098698524165855755,0.2347661682835627,694
"2016-10-19
",2016_293,INTC,0.091921939948209339,0.23809148936564911,709
"2016-10-20
",2016_294,INTC,0.14391893662627789,0.24528423239546049,315
"2016-10-21
",2016_295,INTC,0.16383570581912418,0.2539263446431827,196
"2016-10-22
",2016_296,INTC,0.15345482496722956,0.22740793238312637,131
"2016-10-23
",2016_297,INTC,0.17613181435084091,0.23444281969570183,113
"2016-10-24
",2016_298,INTC,0.16655585930055269,0.22572278392356307,212
"2016-10-25
",2016_299,INTC,0.10700919325239976,0.23019748871719661,184
"2016-10-26
",2016_300,INTC,0.15316365626710454,0.21242711367834477,174
"2016-10-27
",2016_301,INTC,0.19568159414895084,0.25784473961850096,157
"2016-10-28
",2016_302,INTC,0.16150246569468268,0.22600053787077276,106
"2016-10-29
",2016_303,INTC,0.16490028966131906,0.2229118797012262,68
