Date,CSV no.,Stock,Mean,Stdev,No. tweets
"2016-09-01
",2016_245,JPM,0.2482661206833392,0.25308323601436261,151
"2016-09-02
",2016_246,JPM,0.24089904912666102,0.26337006607043628,134
"2016-09-03
",2016_247,JPM,0.19132126348228046,0.2015295935848995,59
"2016-09-04
",2016_248,JPM,0.14970238095238095,0.21887836369828356,56
"2016-09-05
",2016_249,JPM,0.32030653399358433,0.25185020441253042,139
"2016-09-06
",2016_250,JPM,0.29299525870954446,0.29179504073680235,147
"2016-09-07
",2016_251,JPM,0.24532706093189963,0.25731253742406429,155
"2016-09-08
",2016_252,JPM,0.19847587681172016,0.24383268919424381,166
"2016-09-09
",2016_253,JPM,0.20389952763099287,0.30262445559358714,196
"2016-09-10
",2016_254,JPM,0.27434928229665073,0.25763537030015776,95
"2016-09-11
",2016_255,JPM,0.25076223354704369,0.24481666458283255,79
"2016-09-12
",2016_256,JPM,0.26668859944638151,0.27811217500508267,257
"2016-09-13
",2016_257,JPM,0.18913522886224038,0.2425046007590185,261
"2016-09-14
",2016_258,JPM,0.31771812146515938,0.30611567995647615,211
"2016-09-15
",2016_259,JPM,0.20911652450113988,0.26829572173132854,169
"2016-09-16
",2016_260,JPM,0.20339945927307806,0.29639233190676989,181
"2016-09-17
",2016_261,JPM,0.077217183169564108,0.22268250798981848,63
"2016-09-18
",2016_262,JPM,0.15992816091954024,0.25181114344103372,58
"2016-09-19
",2016_263,JPM,0.2121274311918484,0.28131916018902325,163
"2016-09-20
",2016_264,JPM,0.13683308791580168,0.27118218501784841,269
"2016-09-21
",2016_265,JPM,0.14739878948212282,0.2330380138751727,144
"2016-09-22
",2016_266,JPM,0.12063412731815511,0.3233208995672941,108
"2016-09-23
",2016_267,JPM,0.17989455894347198,0.25950454552150132,138
"2016-09-24
",2016_268,JPM,0.15152407006573673,0.22058047580798285,54
"2016-09-25
",2016_269,JPM,0.19220410848931976,0.26254674630144709,71
"2016-09-26
",2016_270,JPM,0.11975771225771226,0.20456501049801057,148
"2016-09-27
",2016_271,JPM,0.17235287470227226,0.24696109531922095,166
"2016-09-28
",2016_272,JPM,0.11366535979743528,0.22121243053389383,106
"2016-09-29
",2016_273,JPM,0.076416578159590576,0.22666012321766105,161
