Date,CSV no.,Stock,Mean,Stdev,No. tweets
"2016-09-01
",2016_245,KO,0.1517753001715266,0.34991903765873034,53
"2016-09-02
",2016_246,KO,0.14427538029100528,0.22641964414894605,32
"2016-09-03
",2016_247,KO,0.12527777777777777,0.23801223580597461,30
"2016-09-04
",2016_248,KO,0.22352092352092354,0.22764962135430664,21
"2016-09-05
",2016_249,KO,0.11745098039215686,0.21049254219300748,34
"2016-09-06
",2016_250,KO,0.073149350649350658,0.20063273891038313,44
"2016-09-07
",2016_251,KO,0.16109668109668113,0.29473605366655076,32
"2016-09-08
",2016_252,KO,0.138525974025974,0.23742172654989516,35
"2016-09-09
",2016_253,KO,0.12234605798242161,0.24844853646675355,55
"2016-09-10
",2016_254,KO,0.15079481034838177,0.19862951452158267,42
"2016-09-11
",2016_255,KO,0.035434173669467793,0.19178752672268595,34
"2016-09-12
",2016_256,KO,0.083176689441749677,0.16919329274031292,83
"2016-09-13
",2016_257,KO,0.13052357552357552,0.2423341029701421,37
"2016-09-14
",2016_258,KO,0.060148766386747161,0.20557699668817861,52
"2016-09-15
",2016_259,KO,0.079497025044970249,0.22864791479270452,73
"2016-09-16
",2016_260,KO,0.053632776865535484,0.21133104600986055,87
"2016-09-17
",2016_261,KO,0.20267857142857143,0.24914172728534512,14
"2016-09-18
",2016_262,KO,0.21907713498622589,0.25685459528780247,33
"2016-09-19
",2016_263,KO,0.081164941597040366,0.17798540758150994,81
"2016-09-20
",2016_264,KO,0.08822222222222223,0.26814161229175937,45
"2016-09-21
",2016_265,KO,0.070681818181818193,0.15473379581949886,44
"2016-09-22
",2016_266,KO,0.066296296296296284,0.15775849423853275,36
"2016-09-23
",2016_267,KO,0.093061224489795924,0.27485756979473819,49
"2016-09-24
",2016_268,KO,0.20331313131313131,0.19346392157223299,15
"2016-09-25
",2016_269,KO,0.15174663299663299,0.25342503747860012,36
"2016-09-26
",2016_270,KO,0.10854412254412253,0.22598526889878431,65
"2016-09-27
",2016_271,KO,0.14460348162475822,0.21365100201484435,47
"2016-09-28
",2016_272,KO,0.13463768115942029,0.23197725331322983,46
