Date,CSV no.,Stock,Mean,Stdev,No. tweets
"2016-09-01
",2016_245,NKE,0.098436837510911576,0.20243151197786863,108
"2016-09-02
",2016_246,NKE,0.10465119358377786,0.24234963970442397,89
"2016-09-03
",2016_247,NKE,0.17346014492753623,0.25940244529145901,46
"2016-09-04
",2016_248,NKE,0.1031455862977602,0.22493159904136184,46
"2016-09-05
",2016_249,NKE,0.14582100070472165,0.2455744750758482,43
"2016-09-06
",2016_250,NKE,0.14147817460317461,0.21020212911503264,72
"2016-09-07
",2016_251,NKE,0.089956287363430226,0.21440545685428225,175
"2016-09-08
",2016_252,NKE,0.12334473506617903,0.23273440578384041,232
"2016-09-09
",2016_253,NKE,0.070374401913875589,0.21814626607181811,95
"2016-09-10
",2016_254,NKE,0.13876799914033955,0.30979554200631371,47
"2016-09-11
",2016_255,NKE,0.13661309523809523,0.22574183053917507,40
"2016-09-12
",2016_256,NKE,0.099847644265119967,0.24633571390558009,103
"2016-09-13
",2016_257,NKE,0.049597665847665846,0.19739342014158831,74
"2016-09-14
",2016_258,NKE,0.057608266573783817,0.20891922171801111,87
"2016-09-15
",2016_259,NKE,0.086913580246913591,0.2097432476583492,81
"2016-09-16
",2016_260,NKE,0.036636270108492339,0.23102940894843199,108
"2016-09-17
",2016_261,NKE,0.12934275184275185,0.22680228952709691,37
"2016-09-18
",2016_262,NKE,0.11321114369501467,0.23885738496227724,31
"2016-09-19
",2016_263,NKE,0.083781221303948578,0.20380758046868219,110
"2016-09-20
",2016_264,NKE,0.036385501355013554,0.23042528280405533,82
"2016-09-21
",2016_265,NKE,0.16313533688533688,0.29214362438069835,91
"2016-09-22
",2016_266,NKE,0.1436440879382056,0.25792902888935965,85
"2016-09-23
",2016_267,NKE,0.094537835249042149,0.20465191721781459,174
"2016-09-24
",2016_268,NKE,0.10638528138528137,0.16486472886678405,91
"2016-09-25
",2016_269,NKE,0.11184678416821274,0.20238281900785407,98
"2016-09-26
",2016_270,NKE,0.067576140189776548,0.2243865397760417,308
"2016-09-27
",2016_271,NKE,0.060383551567574391,0.21848059059167646,701
"2016-09-28
",2016_272,NKE,0.052979464428869194,0.20354233648532025,630
"2016-09-29
",2016_273,NKE,0.074079123382605971,0.25381134882381307,201
"2016-09-30
",2016_274,NKE,0.054930211202938478,0.22737867110458146,165
"2016-10-01
",2016_275,NKE,0.13275058275058277,0.2495091409246413,52
"2016-10-02
",2016_276,NKE,0.064094065656565669,0.28445610908712032,22
"2016-10-03
",2016_277,NKE,0.10305124529150503,0.22413807382539111,77
"2016-10-04
",2016_278,NKE,0.072356288835880675,0.20615989656257519,98
"2016-10-05
",2016_279,NKE,0.11255956389289724,0.27610809475819803,75
"2016-10-06
",2016_280,NKE,0.12625188527730899,0.2305734067274155,118
"2016-10-07
",2016_281,NKE,0.086002037178507768,0.19742780021032241,102
"2016-10-08
",2016_282,NKE,0.12149122807017543,0.29489927772895219,38
"2016-10-09
",2016_283,NKE,0.17666666666666664,0.32850672240711709,25
"2016-10-10
",2016_284,NKE,0.10868467782851345,0.26484060441219648,73
"2016-10-11
",2016_285,NKE,0.13078791848209323,0.21449285148257394,103
"2016-10-12
",2016_286,NKE,0.080320181128261947,0.1874180353413511,99
"2016-10-13
",2016_287,NKE,0.11861001368282921,0.23623085713888584,103
"2016-10-14
",2016_288,NKE,0.065465367965367963,0.22552198806840934,94
"2016-10-15
",2016_289,NKE,0.16346901555234888,0.28594470566413765,36
"2016-10-16
",2016_290,NKE,0.185,0.20461774373849295,20
"2016-10-17
",2016_291,NKE,0.10395664595261368,0.23106624169566328,124
"2016-10-18
",2016_292,NKE,0.082286407102920872,0.1819788713001057,109
"2016-10-19
",2016_293,NKE,0.15527726362422625,0.23983597537728776,107
"2016-10-20
",2016_294,NKE,0.10428407888407888,0.21816621627166535,90
"2016-10-21
",2016_295,NKE,0.078456557381288566,0.18997220972418968,93
"2016-10-22
",2016_296,NKE,0.086497226731601734,0.17255024381323084,32
"2016-10-23
",2016_297,NKE,0.082140591966173362,0.24791319739961204,43
"2016-10-24
",2016_298,NKE,0.080276655758939219,0.20303237375390981,127
"2016-10-25
",2016_299,NKE,0.056311857728113889,0.21493286463828248,203
"2016-10-26
",2016_300,NKE,0.021751241316114733,0.23572593452251792,158
"2016-10-27
",2016_301,NKE,0.084240259740259713,0.31035023428700725,100
"2016-10-28
",2016_302,NKE,0.044830368906455857,0.25686045400098134,92
"2016-10-29
",2016_303,NKE,0.026186868686868692,0.29955070770456926,40
"2016-10-30
",2016_304,NKE,0.095238095238095233,0.20118695404073914,21
"2016-10-31
",2016_305,NKE,0.090227785615165798,0.24524506748012037,313
"2016-11-01
",2016_306,NKE,0.073356322579536878,0.20515412739956945,140
"2016-11-02
",2016_307,NKE,0.10343529635982467,0.2412947147937366,106
"2016-11-03
",2016_308,NKE,0.086133133662203418,0.22403653836676649,86
"2016-11-04
",2016_309,NKE,0.13988005050505051,0.21549309591375113,66
"2016-11-05
",2016_310,NKE,0.083842141654641655,0.22895225059699426,48
"2016-11-06
",2016_311,NKE,0.13854700854700855,0.26958685617893435,39
"2016-11-07
",2016_312,NKE,0.14747750320666986,0.26333847804991689,72
"2016-11-08
",2016_313,NKE,0.075587606837606833,0.22011345343421121,52
"2016-11-09
",2016_314,NKE,0.12010851959831553,0.23507328751997289,49
"2016-11-10
",2016_315,NKE,0.1283409856137129,0.21004939910489451,55
"2016-11-11
",2016_316,NKE,0.10135842692660875,0.28793545519332731,66
"2016-11-12
",2016_317,NKE,0.056456492003367012,0.16675639870626568,32
