Date,CSV no.,Stock,Mean,Stdev,No. tweets
"2016-09-01
",2016_245,PFE,0.16990491107579717,0.24872263543359141,79
"2016-09-02
",2016_246,PFE,0.14529761904761904,0.20116899398399909,42
"2016-09-03
",2016_247,PFE,0.23377192982456144,0.24267786025851043,19
"2016-09-04
",2016_248,PFE,0.13429487179487179,0.20513311292205855,26
"2016-09-05
",2016_249,PFE,0.089999999999999997,0.17546762917669143,19
"2016-09-06
",2016_250,PFE,0.16218764568764571,0.21548923281611515,65
"2016-09-07
",2016_251,PFE,0.18277077497665736,0.23875094362747756,51
"2016-09-08
",2016_252,PFE,0.18037920185461168,0.26934776438086055,61
"2016-09-09
",2016_253,PFE,0.23969292256926664,0.28084249219968327,93
"2016-09-10
",2016_254,PFE,0.21448529411764708,0.24065392243477812,34
"2016-09-11
",2016_255,PFE,0.070727272727272722,0.15240174317347568,25
"2016-09-12
",2016_256,PFE,0.21798463356973999,0.26504948184164118,94
"2016-09-13
",2016_257,PFE,0.17162417239623123,0.2221534636597387,68
"2016-09-14
",2016_258,PFE,0.080820271682340641,0.21688708954089522,116
"2016-09-15
",2016_259,PFE,0.195673748765854,0.24390579676735369,171
"2016-09-16
",2016_260,PFE,0.16731157085808251,0.22304161203571829,129
"2016-09-17
",2016_261,PFE,0.2207825507825508,0.2767533603547872,35
"2016-09-18
",2016_262,PFE,0.20024834814308495,0.23383655552018728,38
"2016-09-19
",2016_263,PFE,0.10431932773109244,0.18264899545615373,85
"2016-09-20
",2016_264,PFE,0.10032260590400124,0.26022854651529326,43
"2016-09-21
",2016_265,PFE,0.24561379097093383,0.37095648479919863,49
"2016-09-22
",2016_266,PFE,0.10875491021324356,0.2216318857460079,54
"2016-09-23
",2016_267,PFE,0.12316284590698653,0.36802109068667116,64
"2016-09-24
",2016_268,PFE,0.108830975572047,0.25005254472843386,28
"2016-09-25
",2016_269,PFE,0.069119769119769109,0.11441574314852347,18
"2016-09-26
",2016_270,PFE,0.19963609354776546,0.25248270148365481,317
"2016-09-27
",2016_271,PFE,0.16640980414835377,0.24195526966549538,131
"2016-09-28
",2016_272,PFE,0.097122053872053887,0.19490396685324984,90
"2016-09-29
",2016_273,PFE,0.15917157687991021,0.21096412435773471,72
"2016-09-30
",2016_274,PFE,0.11314261804087386,0.22970627050949433,86
"2016-10-01
",2016_275,PFE,0.21764245014245012,0.24966410113508375,26
"2016-10-02
",2016_276,PFE,0.10988215488215489,0.27921885909630095,15
"2016-10-03
",2016_277,PFE,0.14770936639118457,0.3168671006875014,55
"2016-10-04
",2016_278,PFE,0.080216942148760337,0.23791305151237824,55
"2016-10-05
",2016_279,PFE,0.1140909090909091,0.23778442064283162,62
"2016-10-06
",2016_280,PFE,0.15027170599353698,0.20572127979640548,142
"2016-10-07
",2016_281,PFE,0.14948628364389233,0.23082761465959101,92
"2016-10-08
",2016_282,PFE,0.14319329660238755,0.34673673354365009,33
"2016-10-09
",2016_283,PFE,0.26605731225296447,0.18344304947838394,46
"2016-10-10
",2016_284,PFE,0.22954277374002141,0.22902339644597453,109
"2016-10-11
",2016_285,PFE,0.17327534605312384,0.22576204799946251,72
"2016-10-12
",2016_286,PFE,0.2260546475995914,0.21685428687448097,89
"2016-10-13
",2016_287,PFE,0.13408302887026294,0.24902451510173168,141
"2016-10-14
",2016_288,PFE,0.11887842316413745,0.24481992050700671,91
"2016-10-15
",2016_289,PFE,0.17474326599326598,0.2096057584495139,50
"2016-10-16
",2016_290,PFE,0.11223905723905725,0.17938502565587339,24
"2016-10-17
",2016_291,PFE,0.14097538277848012,0.23558112493386832,113
"2016-10-18
",2016_292,PFE,0.20294985039470331,0.25727708417544348,136
"2016-10-19
",2016_293,PFE,0.12618238778765092,0.20861362200416872,95
"2016-10-20
",2016_294,PFE,0.16833694083694084,0.21541693229726352,84
"2016-10-21
",2016_295,PFE,0.076146296296296309,0.17148378234524297,75
"2016-10-22
",2016_296,PFE,0.14425675675675675,0.2319638867253796,37
"2016-10-23
",2016_297,PFE,0.074457008508732644,0.19674597680328446,29
"2016-10-24
",2016_298,PFE,0.16097380952380952,0.24032942495979143,50
"2016-10-25
",2016_299,PFE,0.055977896946998063,0.25069122516914183,89
"2016-10-26
",2016_300,PFE,0.12333333333333332,0.26340687677227353,84
"2016-10-27
",2016_301,PFE,0.13060979929161748,0.22768363970602981,55
"2016-10-28
",2016_302,PFE,0.13283687943262415,0.21426368548944305,47
"2016-10-29
",2016_303,PFE,0.11754010695187167,0.19827089916863297,34
"2016-10-30
",2016_304,PFE,0.15842572062084256,0.21347324763103762,41
"2016-10-31
",2016_305,PFE,0.085026764441969119,0.21968587122662045,171
"2016-11-01
",2016_306,PFE,0.1021511972514771,0.23867991164074964,536
"2016-11-02
",2016_307,PFE,0.14692440151291083,0.22649928186689788,161
"2016-11-03
",2016_308,PFE,0.072005823394712273,0.20304581376250086,117
"2016-11-04
",2016_309,PFE,0.11541210202515351,0.20018436224986724,102
"2016-11-05
",2016_310,PFE,0.11623977873977875,0.19387023941379869,42
"2016-11-06
",2016_311,PFE,0.13583951762523191,0.23082561108467514,49
"2016-11-07
",2016_312,PFE,0.14476574753748667,0.20665313747209368,115
"2016-11-08
",2016_313,PFE,0.091649544689317422,0.17560761265798056,44
"2016-11-09
",2016_314,PFE,0.135522828022828,0.23474237902673598,259
"2016-11-10
",2016_315,PFE,0.19768334945196644,0.24194068230715277,188
"2016-11-11
",2016_316,PFE,0.14842040653191732,0.30693842543078748,139
"2016-11-12
",2016_317,PFE,0.05990612648221344,0.35351789249260451,46
"2016-11-13
",2016_318,PFE,0.25840277777777776,0.25878808255135471,48
"2016-11-14
",2016_319,PFE,0.13515251196172248,0.23766695530208906,114
"2016-11-15
",2016_320,PFE,0.1432343846629561,0.21426048215379867,119
"2016-11-16
",2016_321,PFE,0.11648417771464646,0.20267484180697692,64
"2016-11-17
",2016_322,PFE,0.15270444901633021,0.22752981774129732,101
"2016-11-18
",2016_323,PFE,0.12439281204906205,0.24649028033131662,112
"2016-11-19
",2016_324,PFE,0.17104848484848481,0.1912152635949349,25
"2016-11-20
",2016_325,PFE,0.17246031746031745,0.23970862872092422,35
"2016-11-21
",2016_326,PFE,0.14479749417249416,0.23505206609397933,78
"2016-11-22
",2016_327,PFE,0.15793285943854124,0.21051543102971224,88
"2016-11-23
",2016_328,PFE,0.099266857672654765,0.30028136417346468,69
"2016-11-24
",2016_329,PFE,0.10182539682539682,0.22576838227232446,21
"2016-11-25
",2016_330,PFE,0.1934371410902023,0.29830273735124402,49
"2016-11-26
",2016_331,PFE,0.16336410984848482,0.27262387109234276,32
"2016-11-27
",2016_332,PFE,0.15387205387205385,0.21337472337235056,27
"2016-11-28
",2016_333,PFE,0.11226120117077563,0.28131652890342373,94
"2016-11-29
",2016_334,PFE,0.16760904499540863,0.23003497076266491,132
"2016-11-30
",2016_335,PFE,0.18718372536554354,0.24647975909036265,143
