Date,CSV no.,Stock,Mean,Stdev,No. tweets
"2016-09-01
",2016_245,TRV,0.16271808999081727,0.28718965048314482,33
"2016-09-02
",2016_246,TRV,0.21003246753246754,0.25111196527973517,21
"2016-09-03
",2016_247,TRV,0.2373596837944664,0.2930681392502808,23
"2016-09-04
",2016_248,TRV,0.19919631093544135,0.23617354100329768,23
"2016-09-05
",2016_249,TRV,0.14298124098124099,0.23006476320528607,21
"2016-09-06
",2016_250,TRV,0.092121212121212104,0.20092522880650796,22
"2016-09-07
",2016_251,TRV,0.15823451910408429,0.22765616235726249,23
"2016-09-08
",2016_252,TRV,0.17661290322580644,0.2265115825143213,31
"2016-09-09
",2016_253,TRV,0.21604010025062659,0.2876782610405646,19
"2016-09-10
",2016_254,TRV,0.16051587301587303,0.26640429260257886,14
"2016-09-11
",2016_255,TRV,0.0,0.0,2
"2016-09-12
",2016_256,TRV,-0.0083333333333333332,0.023570226039551584,8
"2016-09-13
",2016_257,TRV,0.24791666666666667,0.25637918546237576,32
"2016-09-14
",2016_258,TRV,0.088409090909090909,0.12174625634979176,20
"2016-09-15
",2016_259,TRV,0.027838827838827837,0.084757583130558964,13
"2016-09-16
",2016_260,TRV,0.14794372294372296,0.19861719423684626,7
"2016-09-17
",2016_261,TRV,0.19444444444444448,0.24626844732557229,21
"2016-09-18
",2016_262,TRV,0.029734848484848489,0.079508597934316388,8
"2016-09-19
",2016_263,TRV,0.08538961038961039,0.25807183733634836,20
"2016-09-20
",2016_264,TRV,0.152,0.2453417872939557,25
"2016-09-21
",2016_265,TRV,0.10591856060606061,0.17965979369779292,16
"2016-09-22
",2016_266,TRV,0.072420634920634913,0.23632191803089056,21
"2016-09-23
",2016_267,TRV,0.090145502645502654,0.27942826984598679,18
"2016-09-24
",2016_268,TRV,0.0,0.0,6
"2016-09-25
",2016_269,TRV,0.23809523809523811,0.0,4
"2016-09-26
",2016_270,TRV,0.27619047619047621,0.28002267481884108,7
"2016-09-27
",2016_271,TRV,0.13968253968253969,0.18171357706911351,12
"2016-09-28
",2016_272,TRV,0.088888888888888878,0.16393596310755001,9
