Date,CSV no.,Stock,Mean,Stdev,No. tweets
"2016-09-01
",2016_245,VZ,0.21662101534828807,0.21918573066221636,165
"2016-09-02
",2016_246,VZ,0.22763625090187589,0.22209988771857003,160
"2016-09-03
",2016_247,VZ,0.25723032208881269,0.23078103975499317,53
"2016-09-04
",2016_248,VZ,0.22747998189174659,0.26392133083841418,51
"2016-09-05
",2016_249,VZ,0.20763246753246756,0.19539453906735424,50
"2016-09-06
",2016_250,VZ,0.24845507815133985,0.23354968966768705,107
"2016-09-07
",2016_251,VZ,0.30713317299983967,0.2791990991929521,75
"2016-09-08
",2016_252,VZ,0.28664057045105434,0.31348215657415696,62
"2016-09-09
",2016_253,VZ,0.20673813423813422,0.26230782060978863,111
"2016-09-10
",2016_254,VZ,0.22526014483958406,0.25572823614337742,107
"2016-09-11
",2016_255,VZ,0.21072781385281386,0.22717462422553583,56
"2016-09-12
",2016_256,VZ,0.23005888282879453,0.28031376893379073,206
"2016-09-13
",2016_257,VZ,0.25284722222222228,0.25739467918848058,164
"2016-09-14
",2016_258,VZ,0.16448547764038193,0.2664580639587491,209
"2016-09-15
",2016_259,VZ,0.1836337764368067,0.26638282956714282,99
"2016-09-16
",2016_260,VZ,0.20059063886718961,0.31201443186004574,133
"2016-09-17
",2016_261,VZ,0.25698532948532948,0.24538316580031594,45
"2016-09-18
",2016_262,VZ,0.12956349206349205,0.23754327887292831,42
"2016-09-19
",2016_263,VZ,0.19343925419818281,0.29567978225600999,154
"2016-09-20
",2016_264,VZ,0.15065540153306112,0.23704335563301576,141
"2016-09-21
",2016_265,VZ,0.17253962034134449,0.28279244328747349,87
"2016-09-22
",2016_266,VZ,0.13312177901463615,0.25372488839525098,322
"2016-09-23
",2016_267,VZ,0.1277871787444278,0.23633536686641266,269
"2016-09-24
",2016_268,VZ,0.098758741258741248,0.18647660221665588,65
"2016-09-25
",2016_269,VZ,0.20852630074328193,0.26207410592056946,53
"2016-09-26
",2016_270,VZ,0.17138178061254986,0.25422164430646338,169
"2016-09-27
",2016_271,VZ,0.093155684754521947,0.18139003422288863,86
"2016-09-28
",2016_272,VZ,0.16775074404761905,0.26514325597086852,80
"2016-09-29
",2016_273,VZ,0.15919449120838008,0.22478025695939124,90
"2016-09-30
",2016_274,VZ,0.20427124763257573,0.3342874654719325,130
"2016-10-01
",2016_275,VZ,0.22817638187429853,0.2711353988874215,48
"2016-10-02
",2016_276,VZ,0.16580982236154651,0.33967448225599423,29
"2016-10-03
",2016_277,VZ,0.16642241379310344,0.2518337587638913,87
"2016-10-04
",2016_278,VZ,0.22298457238424346,0.2599519545447897,152
"2016-10-05
",2016_279,VZ,0.14300764537606642,0.25680899011567399,133
"2016-10-06
",2016_280,VZ,0.1970925946761343,0.25551990161490495,202
"2016-10-07
",2016_281,VZ,0.25395300630324591,0.25673033233851167,313
"2016-10-08
",2016_282,VZ,0.27786300505050504,0.25025294197944109,84
"2016-10-09
",2016_283,VZ,0.28746235944349152,0.23111159862629918,53
"2016-10-10
",2016_284,VZ,0.19740273101384212,0.30090534877907349,162
"2016-10-11
",2016_285,VZ,0.087439267616035307,0.25250964785667895,198
"2016-10-12
",2016_286,VZ,0.20998804392116496,0.29711592731370662,157
"2016-10-13
",2016_287,VZ,0.23005350490722834,0.22663850815574657,282
"2016-10-14
",2016_288,VZ,0.19467588783765258,0.23150326073559493,221
"2016-10-15
",2016_289,VZ,0.176668006596578,0.24429369984537441,70
"2016-10-16
",2016_290,VZ,0.17665487497577051,0.21176379641565729,67
"2016-10-17
",2016_291,VZ,0.22194660498231927,0.27621381351989743,182
"2016-10-18
",2016_292,VZ,0.14360883568731161,0.27165419638285704,224
"2016-10-19
",2016_293,VZ,0.14430933702507306,0.23552773727592471,197
"2016-10-20
",2016_294,VZ,0.13971576649342135,0.24654922997242101,565
"2016-10-21
",2016_295,VZ,0.15434128757045426,0.26272353526938885,234
"2016-10-22
",2016_296,VZ,0.24096553890378503,0.26060500342538401,89
"2016-10-23
",2016_297,VZ,0.090333593477923385,0.20260313236720245,194
"2016-10-24
",2016_298,VZ,0.16397408436470937,0.23875094551768444,208
"2016-10-25
",2016_299,VZ,0.13356081491607807,0.25827801317656024,190
"2016-10-26
",2016_300,VZ,0.22828892587147304,0.27499425780205961,212
"2016-10-27
",2016_301,VZ,0.20030242905242907,0.23718716766491682,168
"2016-10-28
",2016_302,VZ,0.20661653407228628,0.24940405289039552,113
"2016-10-29
",2016_303,VZ,0.18162814586543402,0.2307402284838265,59
"2016-10-30
",2016_304,VZ,0.26000856782106785,0.23916028732733874,56
"2016-10-31
",2016_305,VZ,0.24440493100649352,0.22948569584198467,88
"2016-11-01
",2016_306,VZ,0.17425486482471775,0.22811776468746259,68
"2016-11-02
",2016_307,VZ,0.11264956108706109,0.22043796019747339,72
"2016-11-03
",2016_308,VZ,0.21632160647571608,0.25207983788984611,73
"2016-11-04
",2016_309,VZ,0.18046669607029198,0.29579600589729227,73
"2016-11-05
",2016_310,VZ,0.14084010840108402,0.20736497622174471,41
"2016-11-06
",2016_311,VZ,0.1750311557129739,0.23147439342607729,33
"2016-11-07
",2016_312,VZ,0.20372051798775936,0.24857806321847509,116
"2016-11-08
",2016_313,VZ,0.24828181257792908,0.25881797260959599,103
"2016-11-09
",2016_314,VZ,0.083372178176122635,0.26933577915625923,115
"2016-11-10
",2016_315,VZ,0.19637009264985458,0.25202187199484311,126
"2016-11-11
",2016_316,VZ,0.25369153204519057,0.36814449976280639,82
"2016-11-12
",2016_317,VZ,0.1551521310667652,0.22508998348659864,41
"2016-11-13
",2016_318,VZ,0.29042341518634623,0.26635194996624012,58
"2016-11-14
",2016_319,VZ,0.16290910254619931,0.23778088637751643,93
"2016-11-15
",2016_320,VZ,0.15823246836177871,0.26778598482972493,87
"2016-11-16
",2016_321,VZ,0.16044141414141413,0.24349996744981284,75
"2016-11-17
",2016_322,VZ,0.18229603835519864,0.28870405987139003,131
"2016-11-18
",2016_323,VZ,0.23802002022474467,0.28066424391490813,127
"2016-11-19
",2016_324,VZ,0.25892938822184108,0.2369820810450658,53
"2016-11-20
",2016_325,VZ,0.14351046698872785,0.21842919972773023,69
"2016-11-21
",2016_326,VZ,0.17628485628485632,0.23805593988578491,111
"2016-11-22
",2016_327,VZ,0.14042600211493342,0.23759378389456615,131
"2016-11-23
",2016_328,VZ,0.1535619141248912,0.22830214818553396,131
"2016-11-24
",2016_329,VZ,0.14400691215506031,0.23219522047865856,81
"2016-11-25
",2016_330,VZ,0.16848519846654172,0.26275607525224332,67
"2016-11-26
",2016_331,VZ,0.036162059188374979,0.1243215374264406,57
"2016-11-27
",2016_332,VZ,0.12412720409671629,0.19111999184596032,82
"2016-11-28
",2016_333,VZ,0.18137589704442383,0.25810599022737357,112
"2016-11-29
",2016_334,VZ,0.10365328610783156,0.20825124038997789,110
"2016-11-30
",2016_335,VZ,0.089480816802245386,0.18257430770489652,91
"2016-12-01
",2016_336,VZ,0.17653182771107301,0.25404783638450662,106
"2016-12-02
",2016_337,VZ,0.25450534759358284,0.24253011076523651,102
"2016-12-03
",2016_338,VZ,0.19811507936507938,0.25590504352368665,54
"2016-12-04
",2016_339,VZ,0.11202805836139172,0.25282242293164436,45
"2016-12-05
",2016_340,VZ,0.12502042373136124,0.18930864016465532,84
"2016-12-06
",2016_341,VZ,0.15933347362514028,0.25815690587952833,225
