Date,CSV no.,Stock,Mean,Stdev,No. tweets
"2016-09-01
",2016_245,XOM,0.14335285782277607,0.28209493621731363,107
"2016-09-02
",2016_246,XOM,0.17028335264784378,0.24290661874363145,113
"2016-09-03
",2016_247,XOM,0.18650183150183153,0.23190332927666335,65
"2016-09-04
",2016_248,XOM,0.069690410599501498,0.15106019044039087,66
"2016-09-05
",2016_249,XOM,0.22151013620525811,0.27345558360946692,82
"2016-09-06
",2016_250,XOM,0.19937920875420875,0.25898082008873607,126
"2016-09-07
",2016_251,XOM,0.16602209352209352,0.30612038282114629,74
"2016-09-08
",2016_252,XOM,0.10222439848798545,0.19225920805856261,92
"2016-09-09
",2016_253,XOM,0.19226128529158831,0.24567870878811363,99
"2016-09-10
",2016_254,XOM,0.13572230896001389,0.24384571466346869,61
"2016-09-11
",2016_255,XOM,0.12256410256410256,0.20519893737437492,65
"2016-09-12
",2016_256,XOM,0.19573177821379262,0.29809196918856729,139
"2016-09-13
",2016_257,XOM,0.17192587641117046,0.25276960201182697,119
"2016-09-14
",2016_258,XOM,0.16960119047619046,0.22877189414018073,120
"2016-09-15
",2016_259,XOM,0.16385325687957267,0.22762808535667711,95
"2016-09-16
",2016_260,XOM,0.19489204189341927,0.24457471516433896,363
"2016-09-17
",2016_261,XOM,0.18716924887977515,0.25523060631988859,95
"2016-09-18
",2016_262,XOM,0.17921212121212124,0.23441667698108667,60
"2016-09-19
",2016_263,XOM,0.16893803526920412,0.30907234477416845,154
"2016-09-20
",2016_264,XOM,0.094931436273078498,0.2249361096479624,341
"2016-09-21
",2016_265,XOM,0.20046023830833956,0.28752394959563371,316
"2016-09-22
",2016_266,XOM,0.26793418120341189,0.26192874537764904,169
"2016-09-23
",2016_267,XOM,0.19158796296296296,0.26547838945247382,120
"2016-09-24
",2016_268,XOM,0.1715714285714286,0.21280968402123226,50
"2016-09-25
",2016_269,XOM,0.18525181391378573,0.24147605370758074,71
"2016-09-26
",2016_270,XOM,0.17246600621600622,0.21797077981019394,104
"2016-09-27
",2016_271,XOM,0.14935115864527632,0.24196918827248612,85
"2016-09-28
",2016_272,XOM,0.098752241348395192,0.23139759579957153,169
"2016-09-29
",2016_273,XOM,0.22490293385371105,0.28704192398907541,193
"2016-09-30
",2016_274,XOM,0.16043018613331109,0.29476220449761381,156
"2016-10-01
",2016_275,XOM,0.16336520947176686,0.22372095357341931,61
"2016-10-02
",2016_276,XOM,0.096428571428571433,0.18582625189054969,35
"2016-10-03
",2016_277,XOM,0.18262044407205694,0.23810630019402759,93
"2016-10-04
",2016_278,XOM,0.14829446146861877,0.24574235638487202,89
"2016-10-05
",2016_279,XOM,0.13354196109350747,0.26784692102231078,97
